AgeGroup,N,RMSE_mean,RMSE_sd,MAPE_mean,MAPE_sd,Coverage90_mean,Coverage90_sd,PPmin_mean,PPmin_sd,PPsd_mean,PPsd_sd,PPmin_pct_extreme,PPsd_pct_extreme
< 7 years,110,78.92,129.14,6.20,3.58,0.953,0.039,0.430,0.122,0.538,0.102,0.0,0.0
7-12 years,117,23.13,24.53,3.57,2.56,0.953,0.038,0.380,0.125,0.553,0.121,0.0,0.0
13-17 years,56,12.36,9.73,2.62,2.07,0.936,0.037,0.331,0.199,0.633,0.103,0.0,1.8
18-30 years,1297,22.26,151.85,3.61,13.47,0.945,0.042,0.385,0.151,0.580,0.117,0.3,1.9
65+ years,72,42.33,76.53,3.71,2.30,0.952,0.039,0.356,0.123,0.556,0.119,0.0,0.0
